55,Ecology of Building Materials,Bjorn Berge,2000,Architectural Press,750633948,,,,,,,,,,,
56,ECO-Profiles of the European Plastics Industry~ Methodology,I Boustead,2003,APME~ Association of Plastics Manufacturers in Europe,,,,,,,,,,,,
57,EEE: A prototype tool for the evaluation of embodied energy and greenhouse gas emissions of exterior envelope of Canadian houses,Rym Baouendi~ Radu Zmeureanu~ Brian Bradley~ Avi Friedman,2002,Centre for Building Studies - Department of Building - Civil and Environmental Engineering - Concordia University,,,,,,,Montreal~ Quebec~ Canada,,,,,
58,Embodied CO2 of factory made cements and combinations~ fact sheet 18 (P2),Chris Clear~ Denis Higgins~ Lindon Sear,2009,British Cement Association~ BCA,,,,,,,,,,,,
59,Embodied CO2 of UK cement~ additions and cementitious material~ fact sheet 18 (P1),Chris Clear~ Denis Higgins~ Lindon Sear,2009,British Cement Association~ BCA,,,,,,,,,,,,
60,Embodied energy - detailed methodology,Tim Grant,2001,Centre for Design RMIT University Australia,,,,,,,,,,,,
61,Embodied energy analysis of New Zealand building materials,Alcorn~ Baird,11/1996,Deakin University,,,,,,,,Embodied Energy - The Current State of Play,,,,
62,Embodied energy and carbon dioxide emissions for building materials,John West~ Carol Atkinson~ Nigel Howard,1994,BRE,,,,,,,,,,,,Proceedings of the CIB conference on buildings and the environment
63,Embodied Energy and CO2 Coefficients for NZ Building Materials,Andrew Alcorn,2003,Centre for Building Performance Research - Victoria University of Wellington,,,,,,,,,,,,
64,Embodied Energy and CO2 Emissions of Wood and Concrete Framed Buildings in Sweden,L Gustavsson~ R Sathre,2004,Ecotechnology - Mid-Sweden University,,,,,,,,,,,,
65,Embodied Energy Coefficients of Building Materials,Andrew Alcorn,1996,Centre for Building Performance Research - Victoria University of Wellington,,,,,,,,,,,,
66,Embodied energy in buildings: Wood versus concrete - reply to Borjesson and Gustavsson,M Lenzen~ G Treloar,2002,,,30,,249-255,Energy Policy,,,,,,,
67,Embodied energy of common and alternative building materials and technologies,B V Venkaarama Reddy~ K S Jagadish,2001,,,,,,Energy and Buildings,,,,,,,
68,Energy Analysis, John A G Thomas,1977,IPC science Press Technology,902852604,,,,,,,,,,,
69,Energy and environmental impact analysis of double-glazed windows,G Weir~ T Muneer,1996,Napier University,,,,,,,,,,,,
70,Energy consumption and associated greenhouse gas emissions related to maintenance of a residential structure,Paul Winistorfer~ Zhangjing Chen,2004,CORRIM,,,,,,,,,,,,
71,Energy consumption of asphalt and reinforced concrete pavement materials and construction,Pablo Zapata~ John Gambatese,03/2005,,,,,,Journal of infrastructure systems,,,,,,,
72,Energy Performance of buildings,George Baird~ Michael R Donn,1984,CRC Press Inc.,849351863,,,,,,,,,,,
73,Energy use during the life cycle of buildings: a method,K Adalberth,1997,,,32,4,317-320,Building and environment,,,,,,,
74,Environmental assessment of bio-based polymers and natural fibres,Martin Patel~ Catia Bastioli,2003,,,,,,,,,,,,,
75,Environmental Assessment of Brick Production in Greece,Christopher Koroneos~ Aris Dompros,2006,,,42,,2114-2123,Bulding and Environment,,,,,,,
76,Environmental Benefits of Recycling - An international Review of Life Cycle Comparisons for Key Materials in the UK Recycling Sector,,2006,WRAP~ Waste Resources Action Programme,,,,,,,,,,,,
77,Environmental burdens of concrete and concrete products,Sirje Vares~ Tarja Häkkinen,1998,Technical Research Centre of Finland - VTT Building Technology,,,,,,,,,,,,
78,Environmental declaration of the VELFAC 200 window system according to the LCA principle (EDIP method),Velfac,2006,Teknologisk Institut~ The Danish Technological Institute,,,,,,,,,,,,
79,Environmental Declaration~ Nordic Timber Industry~ ND Security Window,,2001,Norwegian Institute of Wood Technology,,,,,,,,,,,,
80,Environmental Fact Sheet - Elevator system Schindler 3100/3300/5300,,2005,Schindler,,,,,,,,,,,,
81,Environmental Fact Sheet - Elevator system Schindler 7000,,2003,Schindler,,,,,,,,,,,,
82,Environmental impact of building and construction materials~ Volume B: Mineral products,R Clough~ R Martyn,1995,CIRIA~ Construction Industry Research and Information Association,860178129,,,,,,,,,,,
83,Environmental impact of building and construction materials~ Volume C: Metals,N Howard,1995,CIRIA~ Construction Industry Research and Information Association,860178137,,,,,,,,,,,
84,Environmental impact of building and construction materials~ Volume D: Plastics and elastomers,R Clough~ R Martyn,1995,CIRIA~ Construction Industry Research and Information Association,860178145,,,,,,,,,,,
85,Environmental impact of building and construction materials~ Volume E: Timber and timber products,J Newton~ R Venables,1995,CIRIA~ Construction Industry Research and Information Association,860178153,,,,,,,,,,,
86,Environmental impact of building and construction materials~ Volume F: Paints and coatings~ adhesives and sealants,R Bradley~ A Griffiths~ M Levitt,1995,CIRIA~ Construction Industry Research and Information Association,860178161,,,,,,,,,,,
87,Environmental Impact of Coated Exterior Wooden Cladding,Tarja Häkkinen~ Pirjo Ahola~ Leila Vanhatalo~ Arja Merra,1999,VTT Building Technology,,,,,,,,,,,,
88,Environmental Impact of producing hardwood lumber using life-cycle inventory,Richard D Bergman~ Scott A Bowe,2008,,,40,3,448-458,Wood and Fibre Science,,,,,,,
89,Environmental LCI data for Rockwool Rollbatt,,2003,Price Waterhouse Coopers~ PWC,,,,,,,,,,,,
90,Environmental Performance Evaluation of Thermal Insulation Materials and its Impact on the Building,A M Papadopoulos~ E Giama,2006,,,,,,Building and Environment,  
10.1016/j.buildenv.2006.04.012,,,,,,
91,Environmental Product Declaration (ISO DIS 21 930) Glasal,,2007,Etex - Glasal,,,,,,,,,,,,
92,Environmental Product Declaration for Steel Roof Cladding using Colorcoat HPS200,,2005,Corus,,,,,,,,,,,,
93,Environmental product declaration of raw and melamine faced wood particleboard,,2007,SAIB S.p.A,,,,,,,Italy,,,,,
94,Environmental Resource guide,Joseph A Demkin,1997,AIA~ American institute of Architects,471140430,,,,,,,,,,,
95,Environmental~ economic and social analysis of materials for doors and windows in Sri Lanka,U G Yasantha Abeysundra~ Sandhya Babel~ Shabbir Gheewala~ Alice Sharp,2006,,,42,,2141-2149,Building and Environment,,,,,,,
96,Environmental~ Health~ and Safety Guidelines for Cement and Lime Manufacturing,,2007,World Bank Group,,,,,,,,,,,,
97,Epoxy resin LCI Data Summary,I Boustead,1999,APME~ Association of Plastics Manufacturers in Europe,,,,,,,,,,,,
98,Epoxy resin LCI Data Summary in excel format,I Boustead,1999,APME~ Association of Plastics Manufacturers in Europe,,,,,,,,,,,,
99,"Estimate of energy consumption and CO2 emission associated with the production~ use and final disposal of sheets made of PVC-P~ MDPE and bituminous
materials",José María Baldasano Recio~ María Gonçalves Ageitos~ Pedro Jiménez Guerrero,2005,Universitat Politecnica de Catalunya,,,,,,,,,,,,
100,Estimating the embodied energy of timber building products,Stephen Pullen,2000,,,15,3,,Journal of the institute of Wood Science,,,,,,,
101,EU ETS Phase II Benchmarks Supporting Documentation: Ceramics,,2006,Enviros Consulting Limited,,,,,,,,,,,,
102,European Database for Corrugated Board Life Cycle Studies,,2006,FEFCO~ European Federation of Corrugated Board Manufacturers,,,,,,,,,,,,
103,Eurostrand - Oriented Strand Board (OSB) - Environmental Product Declaration,,2005,Institut Bauen und Umwelt~ German Institute of Construction and Environment,,,,,,,,,,Declaration number: AUB-EHW-10305-E,,
104,Evaluate the whole life environmental impact of glass in a fully glazed commercial building,Mohamed R Kiani~ Andrew Miller et al,2005,University of Brighton,,,,,,,,,,,,
105,Evaluation of building environmental impacts: Two case studies,Stephen Carpenter~ John Kokko,1996,ASHRAE transactions,,,,,,,,,,,,
106,Evaluation of CO2 payback time of power plants by LCA,K Tahara~ T Kojima~ A Inaba,1997,,,38,,,Energy Conservation and Management,,,,,,,
107,Façade Panels and Level Panels - Textura / Natura~ Eterplan - Environmental Product Declaration,,2007,Institut Bauen und Umwelt~ German Institute of Construction and Environment,,,,,,,,,,,Declaration number: AUB-ETE-10907-E,
108,Gate to Gate Life Cycle Inventory of Glued-Laminated Timbers Production,Maureen E Puettmann~ James B Wilson,2005,,,37,,99-113,Wood and Fibre Science,,,,,,,
109,Gate to Gate Life Cycle Inventory of I-Joist Production,James B Wilson~ Eric R Dancer,2005,,,37,,85-98,Wood and Fibre Science,,,,,,,
110,Gate to Gate Life Cycle Inventory of Laminated Veneer Lumber Production,James B Wilson~ Eric R Dancer,2005,,,37,, 114-127,Wood and Fibre Science,,,,,,,
111,Gate to gate life cycle inventory of softwood lumber production,Michael R Milota~ Cynthia D West~ Ian D Hartley,2005,,,37,,47-57,Wood and Fibre Science,,,,,,,
112,Gate to Gate Life Cycle inventory of Softwood Plywood Production,James B Wilson~ Eric T Sakimoto,2005,,,37,,58-73,Wood and Fibre Science,,,,,,,
113,Gate to Gate Life Cycle Inventory of Oriented Strandboard Production,D Earl Kline,2005,,,37,,74-84,Wood and Fibre Science,,,,,,,
114,GBC - The green building challenge handbook,,1995,,,,,,,,,,,,http://www.gbc-ziegelhandbuch.org/eng/main.asp?Menu=3,
