Polypropylene (PP) Granulate (Virgin),0.84,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Polypropylene (PP) Granulate (Virgin)
Polypropylene (PP) Granulate (Recycled),0.56,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Polypropylene (PP) Granulate (Recycled)
Polyester (PE) (glass filled),2,http://data.nasa.gov/qudt/owl/unit#PoundMass,with 30% Fiberglass,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Polyester (PE) (glass filled)
Polyurethane (PU) Flexible Cushion Foam,1.7,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Polyurethane (PU) Flexible Cushion Foam
Polyurethane (PU) Rigid Dashboard Foam,1.8,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Polyurethane (PU) Rigid Dashboard Foam
General Purpose Polystyrene (GPS) Granulate (Virgin),1.2,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,General Purpose Polystyrene (GPS) Granulate (Virgin)
General Purpose Polystyrene (GPS) Granulate (Recycled),0.61,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,General Purpose Polystyrene (GPS) Granulate (Recycled)
Expanded Polystyrene (EPS) (Virgin),1.1,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Expanded Polystyrene (EPS) (Virgin)
Expanded Polystyrene (EPS) (Recycled),0.82,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Expanded Polystyrene (EPS) (Recycled)
Rigid Polyvinylchloride (Virgin),0.89,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Rigid Polyvinylchloride (Virgin)
Flexible Polyvinylchloride (Virgin),1.2,http://data.nasa.gov/qudt/owl/unit#PoundMass,without lead -  phthalates and DEHP,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Flexible Polyvinylchloride (Virgin)
Polyvinylidene chloride (PVDC) (Virgin),1.6,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Polyvinylidene chloride (PVDC) (Virgin)
Teflon (tetrafluorethylene) (TFE) (Virgin),140,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Teflon (tetrafluorethylene) (TFE) (Virgin)
Ethylene vinyl acetate (EVA),0.82,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Ethylene vinyl acetate (EVA)
Epoxy Resin,0.5,http://data.nasa.gov/qudt/owl/unit#PoundMass,with epichlorohydrin -  bisphenol A,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Epoxy Resin
Glass Fiber,0.23,http://data.nasa.gov/qudt/owl/unit#PoundMass,for composites,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Glass Fiber
Aramid Fiber,6,http://data.nasa.gov/qudt/owl/unit#PoundMass,aromatic polyamide for composites,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Aramid Fiber
Carbon Fiber,5.7,http://data.nasa.gov/qudt/owl/unit#PoundMass,for composites,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Carbon Fiber
Carbon Black,1.7,http://data.nasa.gov/qudt/owl/unit#PoundMass,pigment,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Carbon Black
Natural Rubber (Certified),0.28,http://data.nasa.gov/qudt/owl/unit#PoundMass,certified sustainable -  unvulcanized,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Natural Rubber (Certified)
Polybutadiene (PBR) elastomer,1.5,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Polybutadiene (PBR) elastomer
Styrene butadiene (SBR) elastomer,1.2,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Styrene butadiene (SBR) elastomer
Styrene acrylonitrile (SAN) elastomer,1.3,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Styrene acrylonitrile (SAN) elastomer
Ethylene propylene diene monomer (EPDM) elastomer,1.3,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rwQr0i5wpEbGdrcN5Y29ycA,1,Output,Ethylene propylene diene monomer (EPDM) elastomer
Injection Molding,0.55,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rvVibh5wpEbGdrcN5Y29ycA,1,Output,Substances
Blowing Molding,0.51,http://data.nasa.gov/qudt/owl/unit#PoundMass,blow molding of bottles,Substance,http://sw.opencyc.org/concept/Mx4rvVibh5wpEbGdrcN5Y29ycA,1,Output,Substances
Rotation Molding,0.7,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Substance,http://sw.opencyc.org/concept/Mx4rvVibh5wpEbGdrcN5Y29ycA,1,Output,Substances
Extrusion,0.16,http://data.nasa.gov/qudt/owl/unit#PoundMass,extrusion of solid profiles,Substance,http://sw.opencyc.org/concept/Mx4rvVibh5wpEbGdrcN5Y29ycA,1,Output,Substances
Thermoforming,0.33,http://data.nasa.gov/qudt/owl/unit#PoundMass,vacuum thermoforming,Substance,http://sw.opencyc.org/concept/Mx4rvVibh5wpEbGdrcN5Y29ycA,1,Output,Substances
Deep Drawing ,0.08,http://data.nasa.gov/qudt/owl/unit#PoundMass,drawing with heat,Substance,http://sw.opencyc.org/concept/Mx4rvVibh5wpEbGdrcN5Y29ycA,1,Output,Substances
Calendaring,0.16,http://data.nasa.gov/qudt/owl/unit#PoundMass,calendaring (rolling) folm or sheet,Substance,http://sw.opencyc.org/concept/Mx4rvVibh5wpEbGdrcN5Y29ycA,1,Output,Substances
Film Blow Extrusion,0.02,http://data.nasa.gov/qudt/owl/unit#PoundMass,for films such as PE grocery sacks,Substance,http://sw.opencyc.org/concept/Mx4rvVibh5wpEbGdrcN5Y29ycA,1,Output,Substances
Iron Casting,0.97,http://data.nasa.gov/qudt/owl/unit#PoundMass,,Product,http://sw.opencyc.org/concept/Mx4rvVibh5wpEbGdrcN5Y29ycA,1,Output,Casted Iron
Steel Profile Drawing ,0.15,http://data.nasa.gov/qudt/owl/unit#PoundMass,drawing of pipes,Product,http://sw.opencyc.org/concept/Mx4rvVibh5wpEbGdrcN5Y29ycA,1,Output,Steel Pipe
Steel Hot Rolling,0.11,http://data.nasa.gov/qudt/owl/unit#PoundMass,hot rolling in foundry,Product,http://sw.opencyc.org/concept/Mx4rvVibh5wpEbGdrcN5Y29ycA,1,Output,Steel Roll
