Cement - RC 25/30 (25/30 MPa) (30% Fly Ash),qudt:Kilogram,0.77,,,,0.107,0.115,,,Possible uses: reinforced foundations.,
Cement - RC 28/35 (28/35 MPa) (0% Fly Ash),qudt:Kilogram,0.95,,,,0.139,0.148,,,Possible uses: reinforced foundations -  ground floors.,
Cement - RC 28/35 (28/35 MPa) (15% Fly Ash),qudt:Kilogram,0.9,,,,0.129,0.138,,,Possible uses: reinforced foundations -  ground floors.,
Cement - RC 28/35 (28/35 MPa) (30% Fly Ash),qudt:Kilogram,0.82,,,,0.116,0.124,,,Possible uses: reinforced foundations -  ground floors.,
Cement - RC 32/40 (32/40 MPa) (0% Fly Ash),qudt:Kilogram,1.03,,,,0.153,0.163,,,Possible uses: structural purposes -  in situ floors -  walls -  superstructure.,
Cement - RC 32/40 (32/40 MPa) (15% Fly Ash),qudt:Kilogram,0.97,,,,0.143,0.152,,,Possible uses: structural purposes -  in situ floors -  walls -  superstructure.,
Cement - RC 32/40 (32/40 MPa) (30% Fly Ash),qudt:Kilogram,0.89,,,,0.128,0.136,,,Possible uses: structural purposes -  in situ floors -  walls -  superstructure.,
Cement - RC 40/50 (40/50 MPa) (0% Fly Ash),qudt:Kilogram,1.17,,,,0.176,0.188,,,Possible uses: high strength applications -  precasting.,
Cement - RC 40/50 (40/50 MPa) (15% Fly Ash),qudt:Kilogram,1.1,,,,0.164,0.174,,,Possible uses: high strength applications -  precasting.,
Cement - RC 40/50 (40/50 MPa) (30% Fly Ash),qudt:Kilogram,0.99,,,,0.146,0.155,,,Possible uses: high strength applications -  precasting.,
Cement - PAV1 (0% Fly Ash),qudt:Kilogram,0.95,,,,0.139,0.148,,,Possible uses: domestic parking and outdoor paving.,
Cement - PAV1 (15% Fly Ash),qudt:Kilogram,0.89,,,,0.129,0.138,,,Possible uses: domestic parking and outdoor paving.,
Cement - PAV1 (30% Fly Ash),qudt:Kilogram,0.81,,,,0.115,0.123,,,Possible uses: domestic parking and outdoor paving.,
Cement - PAV2 (0% Fly Ash),qudt:Kilogram,1.03,,,,0.153,0.163,,,Possible uses: heavy duty outdoor paving.,
Cement - PAV2 (15% Fly Ash),qudt:Kilogram,0.97,,,,0.143,0.152,,,Possible uses: heavy duty outdoor paving.,
Cement - PAV2 (30% Fly Ash),qudt:Kilogram,0.89,,,,0.128,0.137,,,Possible uses: heavy duty outdoor paving.,
Cement - GEN 0 (6/8 MPa) (0% Blast Furnace Slag),qudt:Kilogram,0.55,,,,0.071,0.076,,,Compressive strength designation C6/8 Mpa.  28 day compressive strength under British cube method of 8 MPa -  under European cylinder method 6 MPa. Possible uses: Kerb bedding and backing. Data is only cradle to factory gate but beyond this the average delivery distance of ready mix concrete is 8.3 km by road.,
Cement - GEN 0 (6/8 MPa) (15% Blast Furnace Slag),qudt:Kilogram,0.48,,,,0.056,0.06,,,Compressive strength designation C6/8 Mpa.  28 day compressive strength under British cube method of 8 MPa -  under European cylinder method 6 MPa. Possible uses: Kerb bedding and backing. Data is only cradle to factory gate but beyond this the average delivery distance of ready mix concrete is 8.3 km by road.,
Cement - GEN 0 (6/8 MPa) (30% Blast Furnace Slag),qudt:Kilogram,0.41,,,,0.042,0.045,,,Compressive strength designation C6/8 Mpa.  28 day compressive strength under British cube method of 8 MPa -  under European cylinder method 6 MPa. Possible uses: Kerb bedding and backing. Data is only cradle to factory gate but beyond this the average delivery distance of ready mix concrete is 8.3 km by road.,
Cement - GEN 1 (8/10 MPa) (0% Blast Furnace Slag),qudt:Kilogram,0.7,,,,0.097,0.104,,,Possible uses: mass concrete -  mass fill -  mass foundations -  trench foundations -  blinding -  strip footing.,
Cement - GEN 1 (8/10 MPa) (15% Blast Furnace Slag),qudt:Kilogram,0.6,,,,0.075,0.08,,,Possible uses: mass concrete -  mass fill -  mass foundations -  trench foundations -  blinding -  strip footing.,
Cement - GEN 1 (8/10 MPa) (30% Blast Furnace Slag),qudt:Kilogram,0.5,,,,0.054,0.058,,,Possible uses: mass concrete -  mass fill -  mass foundations -  trench foundations -  blinding -  strip footing.,
Cement - GEN 2 (12/15 MPa) (0% Blast Furnace Slag),qudt:Kilogram,0.76,,,,0.106,0.114,,,,
Cement - GEN 2 (12/15 MPa) (15% Blast Furnace Slag),qudt:Kilogram,0.62,,,,0.082,0.088,,,,
Cement - GEN 2 (12/15 MPa) (30% Blast Furnace Slag),qudt:Kilogram,0.55,,,,0.061,0.065,,,,
Cement - GEN 3 (16/20 MPa) (0% Blast Furnace Slag),qudt:Kilogram,0.81,,,,0.115,0.123,,,Possible uses: garage floors.,
Cement - GEN 3 (16/20 MPa) (15% Blast Furnace Slag),qudt:Kilogram,0.69,,,,0.09,0.096,,,Possible uses: garage floors.,
Cement - GEN 3 (16/20 MPa) (30% Blast Furnace Slag),qudt:Kilogram,0.57,,,,0.065,0.07,,,Possible uses: garage floors.,
Cement - RC 20/25 (20/25 MPa) (0% Blast Furnace Slag),qudt:Kilogram,0.86,,,,0.124,0.132,,,,
Cement - RC 20/25 (20/25 MPa) (15% Blast Furnace Slag),qudt:Kilogram,0.74,,,,0.097,0.104,,,,
Cement - RC 20/25 (20/25 MPa) (30% Blast Furnace Slag),qudt:Kilogram,0.62,,,,0.072,0.077,,,,
Cement - RC 25/30 (25/30 MPa) (0% Blast Furnace Slag),qudt:Kilogram,0.91,,,,0.131,0.14,,,Possible uses: reinforced foundations.,
Cement - RC 25/30 (25/30 MPa) (15% Blast Furnace Slag),qudt:Kilogram,0.78,,,,0.104,0.111,,,Possible uses: reinforced foundations.,
Cement - RC 25/30 (25/30 MPa) (30% Blast Furnace Slag),qudt:Kilogram,0.65,,,,0.076,0.081,,,Possible uses: reinforced foundations.,
Cement - RC 28/35 (28/35 MPa) (0% Blast Furnace Slag),qudt:Kilogram,0.95,,,,0.139,0.148,,,Possible uses: reinforced foundations -  ground floors.,
Cement - RC 28/35 (28/35 MPa) (15% Blast Furnace Slag),qudt:Kilogram,0.83,,,,0.111,0.119,,,Possible uses: reinforced foundations -  ground floors.,
Cement - RC 28/35 (28/35 MPa) (30% Blast Furnace Slag),qudt:Kilogram,0.69,,,,0.082,0.088,,,Possible uses: reinforced foundations -  ground floors.,
Cement - RC 32/40 (32/40 MPa) (0% Blast Furnace Slag),qudt:Kilogram,1.03,,,,0.153,0.163,,,Possible uses: structural purposes -  in situ floors -  walls -  superstructure.,
Cement - RC 32/40 (32/40 MPa) (15% Blast Furnace Slag),qudt:Kilogram,0.91,,,,0.125,0.133,,,Possible uses: structural purposes -  in situ floors -  walls -  superstructure.,
Cement - RC 32/40 (32/40 MPa) (30% Blast Furnace Slag),qudt:Kilogram,0.78,,,,0.094,0.1,,,Possible uses: structural purposes -  in situ floors -  walls -  superstructure.,
Cement - RC 40/50 (40/50 MPa) (0% Blast Furnace Slag),qudt:Kilogram,1.17,,,,0.176,0.188,,,Possible uses: high strength applications -  precasting.,
Cement - RC 40/50 (40/50 MPa) (15% Blast Furnace Slag),qudt:Kilogram,1.03,,,,0.144,0.153,,,Possible uses: high strength applications -  precasting.,
Cement - RC 40/50 (40/50 MPa) (30% Blast Furnace Slag),qudt:Kilogram,0.87,,,,0.108,0.115,,,Possible uses: high strength applications -  precasting.,
Cement - PAV1  (0% Blast Furnace Slag),qudt:Kilogram,0.95,,,,0.139,0.148,,,Possible uses: domestic parking and outdoor paving.,
Cement - PAV1  (15% Blast Furnace Slag),qudt:Kilogram,0.82,,,,0.111,0.118,,,Possible uses: domestic parking and outdoor paving.,
Cement - PAV1  (30% Blast Furnace Slag),qudt:Kilogram,0.7,,,,0.083,0.088,,,Possible uses: domestic parking and outdoor paving.,
Cement - PAV2 (0% Blast Furnace Slag),qudt:Kilogram,1.03,,,,0.153,0.163,,,Possible uses: heavy duty outdoor paving.,
Cement - PAV2 (15% Blast Furnace Slag),qudt:Kilogram,0.91,,,,0.125,0.133,,,Possible uses: heavy duty outdoor paving.,
Cement - PAV2 (30% Blast Furnace Slag),qudt:Kilogram,0.77,,,,0.094,0.1,,,Possible uses: heavy duty outdoor paving.,
EU Copper Tube & Sheet,qudt:Kilogram,42,,,,2.6,2.71,,,EU production data -  estimated from Kupfer Institut LCI data. 37% recycled content (the 3 year world average). World average data is expected to be higher than these values.,
Virgin Copper,qudt:Kilogram,57,,,,3.65,3.81,,,,
Recycled Copper,qudt:Kilogram,16.5,,,,0.8,0.84,,,,
Copper recycled from high grade scrap ,qudt:Kilogram,18,,,,1.1,,,,Uncertain -  difficult to estimate with the data available.,
Copper recycled from low grade scrap ,qudt:Kilogram,50,,,,3.1,,,,,
Primary Glass,qudt:Kilogram,15,,,,0.86,0.91,,,Includes process CO2 emissions from primary glass manufacture.,
Secondary Glass,qudt:Kilogram,11.5,,,,0.55,0.59,,,EE estimated from reference.,115
Fibreglass (Glasswool),qudt:Kilogram,28,,,,1.54,,,,Large data range -  but the selected value is inside a small band of frequently quoted values.,
Toughened,qudt:Kilogram,23.5,,,,1.27,1.35,,,Only three data sources,
General Insulation,qudt:Kilogram,45,,,,1.86,,,,Estimated from typical market shares. Feedstock Energy 16.5 MJ/kg  (Included),
Cellular Glass,qudt:Kilogram,27,,,,,,,,,54
Cellulose ,qudt:Kilogram,2.12,,0.94,3.3,,,,,,
Cork,qudt:Kilogram,4,,,,0.19,,,,,55
Fibreglass (Glasswool),qudt:Kilogram,28,,,,1.35,,,,Poor data difficult to select appropriate value,
Flax (Insulation),qudt:Kilogram,39.5,,,,1.7,,,,5.97 MJ/kg Feedstock Energy  (Included),
Mineral wool,qudt:Kilogram,16.6,,,,1.2,1.28,,,,
Paper wool,qudt:Kilogram,20.17,,,,0.63,,,,,41
Rockwool,qudt:Kilogram,16.8,,,,1.05,1.12,,,Cradle to Grave,
Woodwool (loose),qudt:Kilogram,10.8,,,,,,,,,205
Woodwool (Board),qudt:Kilogram,20,,,,0.98,,,,,55
Wool (Recycled) ,qudt:Kilogram,20.9,,,,,,,,,63-201-202-281
Iron,qudt:Kilogram,25,,,,1.91,2.03,,,It was difficult to estimate the embodied energy and carbon of iron with the data available.,
Lead,qudt:Kilogram,25.21,,,,1.57,1.67,,,Allocated (divided) on a mass basis -  assumes recycling rate of 61%,
Virgin Lead,qudt:Kilogram,49,,,,3.18,3.37,,,,
Recycled Lead,qudt:Kilogram,10,,,,0.54,0.58,,,Scrap batteries are a main feedstock for recycled lead,
Lime,qudt:Kilogram,5.3,,,,0.76,0.78,,,Embodied carbon was difficult to estimate,
Linoleum,qudt:Kilogram,25,,,,1.21,,,,Data difficult to select -  large data range.,
Asbestos,qudt:Kilogram,7.4,,,,,,,,,4
Calcium Silicate Sheet,qudt:Kilogram,2,,,,0.13,,,,,55
Chromium,qudt:Kilogram,83,,,,5.39,,,,,22
